,link,name,age,amount_bricks,product_number,price,rating_amount,rating_worth,rating_fun
0,https://www.lego.com/da-dk/product/empire-state-building-21046,Empire State Building,16,1767,210462104621046,899,0,0.0,0.0
1,https://www.lego.com/da-dk/product/statue-of-liberty-21042,Frihedsgudinden,16,1685,210422104221042,899,0,0.0,0.0
2,https://www.lego.com/da-dk/product/taj-mahal-21056,Taj Mahal,18,2022,210562105621056,899,0,0.0,0.0
3,https://www.lego.com/da-dk/product/trafalgar-square-21045,Trafalgar Square,12,1197,210452104521045,749,0,0.0,0.0
4,https://www.lego.com/da-dk/product/the-white-house-21054,Det Hvide Hus,18,1483,210542105421054,719,0,0.0,0.0
5,https://www.lego.com/da-dk/product/tokyo-21051,Tokyo,16,547,210512105121051,549,0,0.0,0.0
6,https://www.lego.com/da-dk/product/new-york-city-21028,New York City,12,598,210282102821028,449,0,0.0,0.0
7,https://www.lego.com/da-dk/product/paris-21044,Paris,12,649,210442104421044,449,0,0.0,0.0
8,https://www.lego.com/da-dk/product/london-21034,London,12,468,210342103421034,399,4.0,4.1,4.0
9,https://www.lego.com/da-dk/product/dubai-21052,Dubai,16,740,210522105221052,549,0,0.0,0.0
10,https://www.lego.com/da-dk/product/san-francisco-21043,San Francisco,12,565,210432104321043,449,0,0.0,0.0
11,https://www.lego.com/da-dk/product/burj-khalifa-21055,Burj Khalifa,16,333,210552105521055,399,2.2,2.2,2.2
12,https://www.lego.com/da-dk/product/batman-40386,Batman™,8,115,403864038640386,150,0,0.0,0.0
13,https://www.lego.com/da-dk/product/the-joker-40428,Jokeren,8,170,404284042840428,150,0,0.0,0.0
14,https://www.lego.com/da-dk/product/batman-vs-the-penguin-harley-quinn-40453,Batman™ mod Pingvinen og Harley Quinn™,6,63,404534045340453,130,0,0.0,0.0
15,https://www.lego.com/da-dk/product/1989-batmobile-76139,1989 Batmobile™,16,3306,761397613976139,1899,4.4,4.4,4.4
16,https://www.lego.com/da-dk/product/1989-batwing-76161,1989-batving​e,18,2363,761617616176161,1599,3.9,4.1,3.9
17,https://www.lego.com/da-dk/product/mobile-bat-base-76160,Mobil batbase,8,743,761607616076160,799,0,0.0,0.0
18,https://www.lego.com/da-dk/product/batman-cowl-76182,Batman™-hætte,18,410,761827618276182,549,0,0.0,0.0
19,https://www.lego.com/da-dk/product/joker-s-trike-chase-76159,Jagt på Jokerens trehjuler,7,440,761597615976159,449,0,0.0,0.0
20,https://www.lego.com/da-dk/product/batcave-10919,Bathulen,2,33,109191091910919,349,0,0.0,0.0
21,https://www.lego.com/da-dk/product/batman-classic-tv-series-batmobile-76188,Batmobile™ fra klassisk Batman™ tv-serie,7,345,761887618876188,300,0,0.0,0.0
22,https://www.lego.com/da-dk/product/batman-vs-the-joker-batmobile-chase-76180,Batman™ mod Jokeren: Batmobile™-jagt,4,136,761807618076180,270,0,0.0,0.0
23,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-76240,LEGO® DC Batman™ Batmobile™-Tumbler,18,2049,762407624076240,1799,0,0.0,0.0
24,https://www.lego.com/da-dk/product/classic-tv-series-batman-cowl-76238,Batman™-hætte fra klassisk tv-serie,18,372,762387623876238,549,0,0.0,0.0
25,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-scarecrow-showdown-76239,LEGO® DC Batman™ Batmobile™-Tumbler: Opgør med Scarecrow™,8,422,762397623976239,349,0,0.0,0.0
26,https://www.lego.com/da-dk/product/lego-batman-movie-hq-luggage-tag-5005296,LEGO BATMAN: FILMEN HQ BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
27,https://www.lego.com/da-dk/product/lego-batman-movie-luggage-tag-5005273,LEGO BATMAN: FILMEN – BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
28,https://www.lego.com/da-dk/product/batboat-the-penguin-pursuit-76158,Batbåd – Pingvinjagten!,4,54,761587615876158,100,0,0.0,0.0
29,https://www.lego.com/da-dk/product/boost-creative-toolbox-17101,Kreativ værktøjskasse,7,847,171011710117101,1399,0,0.0,0.0
30,https://www.lego.com/da-dk/product/harry-hermione-ron-hagrid-40495,"Harry, Hermione, Ron og Hagrid™",10,466,404954049540495,230,0,0.0,0.0
31,https://www.lego.com/da-dk/product/scrooge-mcduck-huey-dewey-louie-40477,"Joakim von And, Rip, Rap og Rup",10,340,404774047740477,230,0,0.0,0.0
32,https://www.lego.com/da-dk/product/voldemort-nagini-bellatrix-40496,"Voldemort™, Nagini og Bellatrix",10,344,404964049640496,230,0,0.0,0.0
33,https://www.lego.com/da-dk/product/belle-bottom-kevin-and-bob-40421,"Belle Bottom, Kevin og Bob",10,309,404214042140421,200,0,0.0,0.0
34,https://www.lego.com/da-dk/product/gru-stuart-and-otto-40420,"Gru, Stuart og Otto",10,244,404204042040420,200,0,0.0,0.0
35,https://www.lego.com/da-dk/product/chinese-new-year-pandas-40466,Kinesisk nytår – pandaer,10,249,404664046640466,200,0,0.0,0.0
36,https://www.lego.com/da-dk/product/wedding-bride-40383,Brud,10,306,403834038340383,130,0,0.0,0.0
37,https://www.lego.com/da-dk/product/wedding-groom-40384,Brudgom,10,255,403844038440384,130,0,0.0,0.0
38,https://www.lego.com/da-dk/product/dalmatian-40479,Dalmatiner,8,252,404794047940479,130,0,0.0,0.0
39,https://www.lego.com/da-dk/product/goofy-pluto-40378,Fedtmule og Pluto,10,214,403784037840378,130,4.5,4.7,4.5
40,https://www.lego.com/da-dk/product/goldfish-40442,Guldfisk,8,186,404424044240442,130,0,0.0,0.0
41,https://www.lego.com/da-dk/product/hamster-40482,Hamster,8,243,404824048240482,130,0,0.0,0.0
42,https://www.lego.com/da-dk/product/shorthair-cats-40441,Korthårskatte,8,250,404414044140441,130,0,0.0,0.0
43,https://www.lego.com/da-dk/product/cockatiel-40481,Nymfeparakit,8,219,404814048140481,130,0,0.0,0.0
44,https://www.lego.com/da-dk/product/ginger-tabby-40480,Rødstribet kat,8,269,404804048040480,130,0,0.0,0.0
45,https://www.lego.com/da-dk/product/german-shepherd-40440,Schæferhund,8,247,404404044040440,130,3.7,4.0,3.7
46,https://www.lego.com/da-dk/product/budgie-40443,Undulat,8,261,404434044340443,130,0,0.0,0.0
47,https://www.lego.com/da-dk/product/donald-duck-40377,Anders And,10,90,403774037740377,100,4.0,4.7,4.0
48,https://www.lego.com/da-dk/product/brick-sketches-bb-8-40431,BB-8™,8,171,404314043140431,150,0,0.0,0.0
49,https://www.lego.com/da-dk/product/batman-40386,Batman™,8,115,403864038640386,150,0,0.0,0.0
50,https://www.lego.com/da-dk/product/the-joker-40428,Jokeren,8,170,404284042840428,150,0,0.0,0.0
51,https://www.lego.com/da-dk/product/first-order-stormtrooper-40391,LEGO® Brick Sketches™ Stormsoldat fra Den Første Orden,8,151,403914039140391,150,0,0.0,0.0
52,https://www.lego.com/da-dk/product/mickey-mouse-40456,Mickey Mouse,8,118,404564045640456,150,0,0.0,0.0
53,https://www.lego.com/da-dk/product/minnie-mouse-40457,Minnie Mouse,8,140,404574045740457,150,0,0.0,0.0
54,https://www.lego.com/da-dk/product/lego-city-advent-calendar-60303,LEGO® City julekalender,5,349,603036030360303,200,0,0.0,0.0
55,https://www.lego.com/da-dk/product/main-square-60271,Hovedtorvet,6,1517,602716027160271,1399,0,0.0,0.0
56,https://www.lego.com/da-dk/product/rocket-assembly-transport-60229,Raketmontering og -transport,7,1054,602296022960229,1199,0,0.0,0.0
57,https://www.lego.com/da-dk/product/police-station-60246,Politistation,6,743,602466024660246,899,0,0.0,0.0
58,https://www.lego.com/da-dk/product/fire-station-60215,Brandstation,5,509,602156021560215,549,0,0.0,0.0
59,https://www.lego.com/da-dk/product/police-helicopter-transport-60244,Politihelikoptertransport,5,317,602446024460244,399,0,0.0,0.0
60,https://www.lego.com/da-dk/product/race-boat-transporter-60254,Racerbådstransporter,5,238,602546025460254,250,0,0.0,0.0
61,https://www.lego.com/da-dk/product/fire-helicopter-response-60248,Brandvæsnets helikopterenhed,5,93,602486024860248,230,2.2,1.8,2.2
62,https://www.lego.com/da-dk/product/racing-cars-60256,Racerbiler,5,190,602566025660256,230,0,0.0,0.0
63,https://www.lego.com/da-dk/product/police-highway-arrest-60242,Anholdelse i trafikken,5,185,602426024260242,180,0,0.0,0.0
64,https://www.lego.com/da-dk/product/construction-bulldozer-60252,Byggeplads med bulldozer,4,126,602526025260252,180,0,0.0,0.0
65,https://www.lego.com/da-dk/product/safari-off-roader-60267,Safari-offroader,5,168,602676026760267,180,0,0.0,0.0
66,https://www.lego.com/da-dk/product/fire-hazard-truck-60279,Brandslukningsbil,5,87,602796027960279,100,0,0.0,0.0
67,https://www.lego.com/da-dk/product/street-sweeper-60249,Fejemaskine,5,89,602496024960249,100,0,0.0,0.0
68,https://www.lego.com/da-dk/product/police-dog-unit-60241,Hundepatrulje,4,67,602416024160241,100,0,0.0,0.0
69,https://www.lego.com/da-dk/product/monster-truck-60251,Monstertruck,5,55,602516025160251,100,0,0.0,0.0
70,https://www.lego.com/da-dk/product/police-patrol-car-60239,Politipatruljevogn,5,92,602396023960239,100,0,0.0,0.0
71,https://www.lego.com/da-dk/product/bricks-and-lights-11009,Klodser og lys,5,441,110091100911009,250,0,0.0,0.0
72,https://www.lego.com/da-dk/product/bricks-bricks-plates-11717,"Klodser, klodser, plader",4,1504,117171171711717,649,0,0.0,0.0
73,https://www.lego.com/da-dk/product/bricks-bricks-bricks-10717,"Klodser, klodser, klodser",4,1500,107171071710717,549,0,0.0,0.0
74,https://www.lego.com/da-dk/product/bricks-and-wheels-11014,Klodser og hjul,4,653,110141101411014,449,0,0.0,0.0
75,https://www.lego.com/da-dk/product/creative-building-bricks-11016,Kreative byggeklodser,4,1201,110161101611016,449,0,0.0,0.0
76,https://www.lego.com/da-dk/product/around-the-world-11015,Verden rundt,4,950,110151101511015,449,0,0.0,0.0
77,https://www.lego.com/da-dk/product/bricks-and-animals-11011,Klodser og dyr,4,1500,110111101111011,439,0,0.0,0.0
78,https://www.lego.com/da-dk/product/lego-large-creative-brick-box-10698,LEGO® Kreativt byggeri – stor,4,790,106981069810698,399,0,0.0,0.0
79,https://www.lego.com/da-dk/product/creative-transparent-bricks-11013,Kreative gennemsigtige klodser,4,500,110131101311013,270,0,0.0,0.0
80,https://www.lego.com/da-dk/product/lego-medium-creative-brick-box-10696,LEGO® Kreativt byggeri – medium,4,484,106961069610696,250,0,0.0,0.0
81,https://www.lego.com/da-dk/product/basic-brick-set-11002,Basisklodser,4,300,110021100211002,180,0,0.0,0.0
82,https://www.lego.com/da-dk/product/bricks-and-houses-11008,Klodser og huse,4,270,110081100811008,180,0,0.0,0.0
83,https://www.lego.com/da-dk/product/creative-suitcase-10713,Kreativ kuffert,4,213,107131071310713,180,0,0.0,0.0
84,https://www.lego.com/da-dk/product/gray-baseplate-10701,Grå byggeplade,4,1,107011070110701,130,0,0.0,0.0
85,https://www.lego.com/da-dk/product/lego-creative-bricks-10692,LEGO® Kreative klodser,4,221,106921069210692,130,0,0.0,0.0
86,https://www.lego.com/da-dk/product/blue-baseplate-10714,Blå byggeplade,4,1,107141071410714,70,0,0.0,0.0
87,https://www.lego.com/da-dk/product/green-baseplate-10700,Grøn byggeplade,4,1,107001070010700,70,0,0.0,0.0
88,https://www.lego.com/da-dk/product/white-baseplate-11010,Hvid byggeplade,4,1,110101101011010,70,0,0.0,0.0
89,https://www.lego.com/da-dk/product/riverside-houseboat-31093,Husbåd,7,396,310933109331093,229,0,0.0,0.0
90,https://www.lego.com/da-dk/product/propeller-plane-31099,Propelfly,6,128,310993109931099,100,0,0.0,0.0
91,https://www.lego.com/da-dk/product/medieval-castle-31120,Middelalderborg,9,1426,311203112031120,899,0,0.0,0.0
92,https://www.lego.com/da-dk/product/pirate-ship-31109,Piratskib,9,1260,311093110931109,899,0,0.0,0.0
93,https://www.lego.com/da-dk/product/ferris-wheel-31119,Pariserhjul,9,1002,311193111931119,799,0,0.0,0.0
94,https://www.lego.com/da-dk/product/townhouse-pet-shop-cafe-31097,Byhus med dyrehandel og café,9,969,310973109731097,599,0,0.0,0.0
95,https://www.lego.com/da-dk/product/caravan-family-holiday-31108,Familieferie med campingvogn,9,766,311083110831108,599,0,0.0,0.0
96,https://www.lego.com/da-dk/product/monster-burger-truck-31104,Monsterburgervogn,8,499,311043110431104,449,0,0.0,0.0
97,https://www.lego.com/da-dk/product/space-shuttle-adventure-31117,Rumfærge-eventyr,8,486,311173111731117,449,0,0.0,0.0
98,https://www.lego.com/da-dk/product/surfer-beach-house-31118,Surfer-strandhus,8,564,311183111831118,449,0,0.0,0.0
99,https://www.lego.com/da-dk/product/space-rover-explorer-31107,Rumudforskningskøretøj,8,510,311073110731107,359,0,0.0,0.0
100,https://www.lego.com/da-dk/product/townhouse-toy-store-31105,Byhus med legetøjsbutik,8,554,311053110531105,349,0,0.0,0.0
101,https://www.lego.com/da-dk/product/fish-tank-31122,Akvarium,8,352,311223112231122,270,4.2,4.3,4.2
102,https://www.lego.com/da-dk/product/crocodile-31121,Krokodille,7,454,311213112131121,270,0,0.0,0.0
103,https://www.lego.com/da-dk/product/safari-wildlife-tree-house-31116,Safari-trætophus,7,397,311163111631116,270,0,0.0,0.0
104,https://www.lego.com/da-dk/product/race-car-transporter-31113,Racerbil-transporter,7,328,311133111331113,230,0,0.0,0.0
105,https://www.lego.com/da-dk/product/space-mining-mech-31115,Rum-minerobot,7,327,311153111531115,230,0,0.0,0.0
106,https://www.lego.com/da-dk/product/fire-dragon-31102,Ilddrage,7,234,311023110231102,180,0,0.0,0.0
107,https://www.lego.com/da-dk/product/colosseum-10276,Colosseum,18,9036,102761027610276,3899,0,0.0,0.0
108,https://www.lego.com/da-dk/product/camp-nou-fc-barcelona-10284,Camp Nou – FC Barcelona,18,5509,102841028410284,2499,0,0.0,0.0
109,https://www.lego.com/da-dk/product/police-station-10278,Politistation,18,2923,102781027810278,1399,4.3,4.3,4.3
110,https://www.lego.com/da-dk/product/the-friends-apartments-10292,Lejlighederne fra Venner,18,2048,102921029210292,1299,0,0.0,0.0
111,https://www.lego.com/da-dk/product/porsche-911-10295,Porsche 911,18,1458,102951029510295,1199,0,0.0,0.0
112,https://www.lego.com/da-dk/product/volkswagen-t2-camper-van-10279,Volkswagen T2 autocamper,18,2207,102791027910279,1199,0,0.0,0.0
113,https://www.lego.com/da-dk/product/santa-s-visit-10293,Julemandens besøg,18,1445,102931029310293,799,0,0.0,0.0
114,https://www.lego.com/da-dk/product/roller-coaster-10261,Rutsjebane,16,4124,102611026110261,2699,4.6,4.1,4.6
115,https://www.lego.com/da-dk/product/old-trafford-manchester-united-10272,Old Trafford – Manchester United,16,3898,102721027210272,2199,3.9,3.8,3.9
116,https://www.lego.com/da-dk/product/assembly-square-10255,Butiksgade,16,4002,102551025510255,2099,4.7,4.6,4.7
117,https://www.lego.com/da-dk/product/haunted-house-10273,Spøgelseshus i forlystelsespark,18,3231,102731027310273,1799,4.3,4.1,4.3
118,https://www.lego.com/da-dk/product/ghostbusters-ecto-1-10274,Ghostbusters™ ECTO-1,18,2352,102741027410274,1599,0,0.0,0.0
119,https://www.lego.com/da-dk/product/corner-garage-10264,Hjørneværksted,16,2569,102641026410264,1499,0,0.0,0.0
120,https://www.lego.com/da-dk/product/nasa-space-shuttle-discovery-10283,NASA Space Shuttle Discovery,18,2354,102831028310283,1399,0,0.0,0.0
121,https://www.lego.com/da-dk/product/bookshop-10270,Boghandel,16,2504,102701027010270,1299,0,0.0,0.0
122,https://www.lego.com/da-dk/product/ford-mustang-10265,Ford Mustang,16,1471,102651026510265,1199,4.6,4.4,4.6
123,https://www.lego.com/da-dk/product/bird-of-paradise-10289,Paradisfugl,18,1173,102891028910289,899,0,0.0,0.0
124,https://www.lego.com/da-dk/product/batman-40386,Batman™,8,115,403864038640386,150,0,0.0,0.0
125,https://www.lego.com/da-dk/product/the-joker-40428,Jokeren,8,170,404284042840428,150,0,0.0,0.0
126,https://www.lego.com/da-dk/product/batman-vs-the-penguin-harley-quinn-40453,Batman™ mod Pingvinen og Harley Quinn™,6,63,404534045340453,130,0,0.0,0.0
127,https://www.lego.com/da-dk/product/1989-batmobile-76139,1989 Batmobile™,16,3306,761397613976139,1899,4.4,4.4,4.4
128,https://www.lego.com/da-dk/product/1989-batwing-76161,1989-batving​e,18,2363,761617616176161,1599,3.9,4.1,3.9
129,https://www.lego.com/da-dk/product/mobile-bat-base-76160,Mobil batbase,8,743,761607616076160,799,0,0.0,0.0
130,https://www.lego.com/da-dk/product/batman-cowl-76182,Batman™-hætte,18,410,761827618276182,549,0,0.0,0.0
131,https://www.lego.com/da-dk/product/joker-s-trike-chase-76159,Jagt på Jokerens trehjuler,7,440,761597615976159,449,0,0.0,0.0
132,https://www.lego.com/da-dk/product/batcave-10919,Bathulen,2,33,109191091910919,349,0,0.0,0.0
133,https://www.lego.com/da-dk/product/batman-classic-tv-series-batmobile-76188,Batmobile™ fra klassisk Batman™ tv-serie,7,345,761887618876188,300,0,0.0,0.0
134,https://www.lego.com/da-dk/product/wonder-woman-vs-cheetah-76157,Wonder Woman™ vs Cheetah,8,371,761577615776157,279,0,0.0,0.0
135,https://www.lego.com/da-dk/product/batman-vs-the-joker-batmobile-chase-76180,Batman™ mod Jokeren: Batmobile™-jagt,4,136,761807618076180,270,0,0.0,0.0
136,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-76240,LEGO® DC Batman™ Batmobile™-Tumbler,18,2049,762407624076240,1799,0,0.0,0.0
137,https://www.lego.com/da-dk/product/classic-tv-series-batman-cowl-76238,Batman™-hætte fra klassisk tv-serie,18,372,762387623876238,549,0,0.0,0.0
138,https://www.lego.com/da-dk/product/lego-dc-batman-batmobile-tumbler-scarecrow-showdown-76239,LEGO® DC Batman™ Batmobile™-Tumbler: Opgør med Scarecrow™,8,422,762397623976239,349,0,0.0,0.0
139,https://www.lego.com/da-dk/product/lego-batman-movie-hq-luggage-tag-5005296,LEGO BATMAN: FILMEN HQ BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
140,https://www.lego.com/da-dk/product/lego-batman-movie-luggage-tag-5005273,LEGO BATMAN: FILMEN – BAGAGEMÆRKE,6,90,0,0,0,0.0,0.0
141,https://www.lego.com/da-dk/product/the-disney-castle-71040,Disney-slottet,16,4080,710407104071040,2999,4.5,4.4,4.5
142,https://www.lego.com/da-dk/product/belle-and-rapunzel-s-royal-stables-43195,Belle og Rapunzels kongelige stalde,5,239,431954319543195,449,0,0.0,0.0
143,https://www.lego.com/da-dk/product/ariel-belle-cinderella-and-tiana-s-storybook-adventures-43193,"Ariel, Belle, Askepot og Tianas bog-eventyr",5,130,431934319343193,230,0,0.0,0.0
144,https://www.lego.com/da-dk/product/scrooge-mcduck-huey-dewey-louie-40477,"Joakim von And, Rip, Rap og Rup",10,340,404774047740477,230,0,0.0,0.0
145,https://www.lego.com/da-dk/product/mickey-mouse-40456,Mickey Mouse,8,118,404564045640456,150,0,0.0,0.0
146,https://www.lego.com/da-dk/product/minnie-mouse-40457,Minnie Mouse,8,140,404574045740457,150,0,0.0,0.0
147,https://www.lego.com/da-dk/product/goofy-pluto-40378,Fedtmule og Pluto,10,214,403784037840378,130,4.5,4.7,4.5
148,https://www.lego.com/da-dk/product/donald-duck-40377,Anders And,10,90,403774037740377,100,4.0,4.7,4.0
149,https://www.lego.com/da-dk/product/daisy-duck-40476,Andersine And,10,110,404764047640476,100,0,0.0,0.0
150,https://www.lego.com/da-dk/product/mickey-mouse-minnie-mouse-buildable-characters-43179,Bygbare Mickey Mouse og Minnie Mouse-figurer,18,1739,431794317943179,1399,4.0,3.8,4.0
151,https://www.lego.com/da-dk/product/winnie-the-pooh-21326,Peter Plys,18,1265,213262132621326,899,4.7,4.4,4.7
152,https://www.lego.com/da-dk/product/elsa-s-magical-ice-palace-43172,Elsas magiske ispalads,6,701,431724317243172,649,0,0.0,0.0
153,https://www.lego.com/da-dk/product/boun-s-boat-43185,Bouns båd,6,247,431854318543185,449,0,0.0,0.0
154,https://www.lego.com/da-dk/product/bruni-the-salamander-buildable-character-43186,Salamanderen Bruni – bygbar figur,6,96,431864318643186,100,0,0.0,0.0
155,https://www.lego.com/da-dk/product/the-ice-castle-43197,Isslottet,14,1599,0,0,0,0.0,0.0
156,https://www.lego.com/da-dk/product/disney-s-mickey-mouse-31202,Disneys Mickey Mouse,18,2658,312023120231202,1099,0,0.0,0.0
157,https://www.lego.com/da-dk/product/arendelle-castle-village-41167,Arendal slotsby,5,521,411674116741167,749,0,0.0,0.0
158,https://www.lego.com/da-dk/product/belle-and-the-beast-s-castle-43196,Belle og Udyrets slot,6,505,431964319643196,749,0,0.0,0.0
159,https://www.lego.com/da-dk/product/mickey-friends-fire-truck-station-10776,Mickey og venners brandstation og brandbil,4,144,107761077610776,449,0,0.0,0.0
160,https://www.lego.com/da-dk/product/mickey-mouse-donald-duck-s-farm-10775,Mickey Mouse og Anders Ands bondegård,4,118,107751077510775,270,0,0.0,0.0
161,https://www.lego.com/da-dk/product/mickey-mouse-minnie-mouse-s-space-rocket-10774,Mickey Mouse og Minnie Mouses rumraket,4,88,107741077410774,180,0,0.0,0.0
162,https://www.lego.com/da-dk/product/minnie-mouse-s-ice-cream-shop-10773,Minnie Mouses isbutik,4,100,107731077310773,180,0,0.0,0.0
163,https://www.lego.com/da-dk/product/mickey-mouse-s-propeller-plane-10772,Mickey Mouses propelfly,4,100,0,0,0,0.0,0.0
164,https://www.lego.com/da-dk/product/bag-tag-dragon-41939,Taskevedhæng – drage,6,82,419394193941939,60,0,0.0,0.0
165,https://www.lego.com/da-dk/product/bag-tag-unicorn-41940,Taskevedhæng – enhjørning,6,80,419404194041940,60,0,0.0,0.0
166,https://www.lego.com/da-dk/product/go-team-bracelet-41911,Armbånd med holdånd,6,33,419114191141911,50,0,0.0,0.0
167,https://www.lego.com/da-dk/product/creative-designer-box-41938,Kreativt designersæt,7,779,419384193841938,349,0,0.0,0.0
168,https://www.lego.com/da-dk/product/multi-pack-summer-vibes-41937,Multipak med sommerstemning,6,441,419374193741937,270,0,0.0,0.0
169,https://www.lego.com/da-dk/product/creative-party-kit-41926,Kreativt festsæt,6,623,419264192641926,230,0,0.0,0.0
170,https://www.lego.com/da-dk/product/secret-holder-41924,Hemmelighedsholder,6,451,419244192441924,180,0,0.0,0.0
171,https://www.lego.com/da-dk/product/creative-picture-frames-41914,Kreative billedrammer,6,398,419144191441914,180,0,0.0,0.0
172,https://www.lego.com/da-dk/product/lots-of-dots-41935,Masser af DOTS,6,1040,419354193541935,180,0,0.0,0.0
173,https://www.lego.com/da-dk/product/desk-organizer-41907,Skrivebordssystem,6,405,419074190741907,180,0,0.0,0.0
174,https://www.lego.com/da-dk/product/jewelry-box-41915,Smykkeskrin,6,374,419154191541915,180,0,0.0,0.0
175,https://www.lego.com/da-dk/product/secret-boxes-41925,Hemmelighedsæsker,6,273,419254192541925,130,0,0.0,0.0
